PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
69.06,,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
80.84,,436.0,16.76923076923077,145.33333333333334,436.0,,,,,,,109.0,,,,218.0,,,,,,,,436.0,,87.2,,,436.0,436.0,436.0,436.0,,,,
63.08,,442.0,17.68,55.25,,,,,,,,110.5,442.0,,,221.0,,73.66666666666667,,,,,,442.0,,63.142857142857146,442.0,,442.0,442.0,442.0,442.0,,,,
75.0,,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
73.04,,542.0,19.357142857142858,180.66666666666663,,,,,,,,108.4,542.0,,,271.0,,90.33333333333331,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
60.24,,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
47.13,,448.0,23.57894736842105,37.333333333333336,448.0,,,,,,,89.6,448.0,,,224.0,,74.66666666666667,,,,,,,,64.0,448.0,,448.0,448.0,448.0,448.0,,,,
57.58,,803.0,25.09375,53.53333333333333,803.0,,,,,,,133.83333333333334,803.0,,,401.5,,114.71428571428572,,,,,,803.0,,73.0,803.0,,803.0,401.5,,803.0,,,,
55.24,,2011.0,18.11711711711712,83.79166666666667,2011.0,,,,,,,143.64285714285714,2011.0,,,251.375,,105.84210526315788,,,,2011.0,,1005.5,2011.0,251.375,1005.5,,2011.0,402.2,402.2,2011.0,,,,
83.9,,208.0,18.90909090909091,104.0,208.0,,,,,,,52.0,208.0,,,104.0,,26.0,,,,,,,,69.33333333333333,208.0,,208.0,208.0,,208.0,,,,
41.35,,394.0,19.7,43.77777777777778,,,,,,,,98.5,394.0,,,394.0,,78.8,,,,,,,,21.88888888888889,394.0,,394.0,394.0,,394.0,,,,
52.31,,564.0,17.625,112.8,,,,,,,,141.0,564.0,,,564.0,,80.57142857142857,,,,,,,,80.57142857142857,564.0,,564.0,,564.0,564.0,564.0,,,
67.53,,387.0,16.125,129.0,,,,,,,,193.5,387.0,,,387.0,,96.75,,,,,,,,64.5,387.0,,387.0,,,387.0,387.0,,,
65.16,,353.0,17.65,35.3,,,,,,,,58.833333333333336,353.0,,,353.0,,88.25,,,,,,,,32.09090909090909,176.5,,353.0,353.0,,,353.0,,,
50.0,,303.0,16.833333333333332,75.75,,,,,,,,101.0,303.0,,,303.0,,75.75,,,,,,,,37.875,303.0,,303.0,303.0,,303.0,,,,
80.74,,372.0,20.666666666666668,53.142857142857146,372.0,,,,,,,186.0,372.0,,,372.0,,124.0,,,,,,,,62.0,372.0,,372.0,186.0,,372.0,,,,
58.33,,318.0,18.705882352941178,106.0,318.0,,,,,,,106.0,318.0,,,318.0,,45.42857142857143,,,,,,,,106.0,318.0,,318.0,318.0,,318.0,318.0,,,
45.5,,987.0,23.5,42.91304347826087,,,,,,,,109.66666666666669,987.0,,,197.4,,42.91304347826087,,,,,,,,82.25,987.0,,987.0,493.5,493.5,987.0,,,,
40.73,,971.0,21.57777777777778,64.73333333333333,,,,,,,,97.1,971.0,,,242.75,,88.27272727272727,,,,,,,971.0,69.35714285714286,971.0,,971.0,485.5,485.5,971.0,971.0,971.0,,
40.82,,1866.0,21.69767441860465,69.11111111111111,,,,,,,,133.28571428571428,1866.0,,,311.0,,116.625,,,,,,466.5,,93.3,1866.0,1866.0,1866.0,373.2,466.5,1866.0,,,,
65.52,,358.0,21.058823529411764,59.66666666666666,,,,,,,,89.5,358.0,,,179.0,,179.0,,,,,358.0,,,39.77777777777778,358.0,,358.0,358.0,,,179.0,,,
73.5,,489.0,16.3,81.5,,,,,,,,81.5,489.0,,,244.5,,97.8,,,489.0,,489.0,,,61.125,489.0,,489.0,489.0,489.0,,163.0,,,
62.61,,467.0,16.103448275862068,116.75,,,,,,,,116.75,467.0,,,233.5,,116.75,,,,,467.0,,,38.91666666666666,467.0,,467.0,467.0,467.0,,233.5,,,
51.72,,953.0,21.177777777777777,52.94444444444444,,,,,,,,105.88888888888889,953.0,,,476.5,,105.88888888888889,,,,,,,,86.63636363636364,953.0,,953.0,476.5,476.5,,953.0,953.0,,
61.57,,934.0,19.45833333333333,84.9090909090909,,,,,,,,84.9090909090909,934.0,,,311.3333333333333,,116.75,934.0,,934.0,,,,,155.66666666666666,934.0,,934.0,311.3333333333333,467.0,934.0,467.0,186.8,,
