School Year,School Code,Organization,Assessment Name,ContentArea,Grade,PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,ELA,3rd Grade,64.52,2461.17,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,ELA,4th Grade,79.82,2531.42,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,ELA,5th Grade,65.71,2531.05,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,ELA,All Students,69.06,,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,3rd Grade,65.16,2469.21,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,4th Grade,66.36,2515.35,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,5th Grade,48.57,2535.71,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,610,Allen Frear Elementary School,Smarter Balanced Summative Assessment,MATH,All Students,59.75,,699.0,19.97142857142857,116.5,699.0,,,,,,,139.8,699.0,,,349.5,,99.85714285714286,,,,,,,,116.5,699.0,,699.0,699.0,,,,,,
2015,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,ELA,3rd Grade,81.33,2489.33,436.0,16.76923076923077,145.33333333333334,436.0,,,,,,,109.0,,,,218.0,,,,,,,,436.0,,87.2,,,436.0,436.0,436.0,436.0,,,,
2015,612,Major George S. Welch Elementary School,Smarter Balanced Summative Assessment,ELA,4th Grade,85.48,2528.34,436.0,16.76923076923077,145.33333333333334,436.0,,,,,,,109.0,,,,218.0,,,,,,,,436.0,,87.2,,,436.0,436.0,436.0,436.0,,,,
